id,name,set_number,pieces,price,designer_id,launch_time,packaging_type_id,theme_id
041a9eed-1665-40e5-876e-1875460cf730,"LEGO Star Wars Millennium Falcon",75192,7541,849.99,ee6f6c30-f413-414f-a58c-ae3abf7776a3,2017-10-01 00:00:00.000000 +00:00,1,9
4ebe2131-528f-4d73-b4b4-348a9d383bd3,"LEGO Star Wars The Razor Crest",75331,6187,599.99,3c82283c-94b5-4490-ba36-4656003ae5e7,2022-10-03 00:00:00.000000 +00:00,1,9
255fe9a9-acb5-445b-98f1-092cfe4c2272,"LEGO DC Batman Batmobile Tumbler",76240,2049,269.99,939bc0a7-6ec0-4a4c-ba5c-78feafb34d15,2021-11-01 00:00:00.000000 +00:00,1,1
7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,"LEGO Harry Potter Hogwarts Castle",71043,6020,469.99,bace78ea-9bcf-481a-97b7-907605f254a5,2018-09-01 00:00:00.000000 +00:00,1,4
36fa1db6-f5e6-4b97-8f88-ab99a3aab971,"LEGO Horizon Forbidden West Tallneck",76989,1222,89.99,2540774f-20f3-42bd-81b2-96ca0fcb543a,2022-05-01 00:00:00.000000 +00:00,1,5
